show_id,type,title,date_added,release_year,rating,duration
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,26-Nov-21,2016,TV-G,23 min
s2,Movie,Ernest Saves Christmas,26-Nov-21,1988,PG,91 min
s3,Movie,Ice Age: A Mammoth Christmas,26-Nov-21,2011,TV-G,23 min
s4,Movie,The Queen Family Singalong,26-Nov-21,2021,TV-PG,41 min
s5,TV Show,The Beatles: Get Back,25-Nov-21,2021,,1 Season
s6,Movie,Becoming Cousteau,24-Nov-21,2021,PG-13,94 min
s7,TV Show,Hawkeye,24-Nov-21,2021,TV-14,1 Season
s8,TV Show,Port Protection Alaska,24-Nov-21,2015,TV-14,2 Seasons
s9,TV Show,Secrets of the Zoo: Tampa,24-Nov-21,2019,TV-PG,2 Seasons
s10,Movie,A Muppets Christmas: Letters To Santa,19-Nov-21,2008,G,45 min
s11,Movie,Adventure Thru the Walt Disney Archives,19-Nov-21,2020,TV-PG,59 min
s12,Movie,Puppy for Hanukkah,19-Nov-21,2020,TV-G,4 min
s13,Movie,The Pixar Story,19-Nov-21,2007,G,91 min
s14,TV Show,"Dr. Oakley, Yukon Vet",17-Nov-21,2013,TV-PG,10 Seasons
s15,Movie,America the Beautiful,12-Nov-21,2021,TV-PG,2 min
s16,Movie,Baymax!,12-Nov-21,2021,TV-G,1 min
s17,Movie,Ciao Alberto,12-Nov-21,2021,TV-PG,8 min
s18,TV Show,Disney Fancy Nancy,12-Nov-21,2018,TV-PG,3 Seasons
s19,TV Show,Disney Intertwined,12-Nov-21,2021,TV-PG,1 Season
s20,Movie,Enchanted,12-Nov-21,2007,PG,110 min
s21,Movie,Feast,12-Nov-21,2014,G,8 min
s22,Movie,Frozen Fever,12-Nov-21,2015,G,11 min
s23,Movie,Get a Horse!,12-Nov-21,2013,G,7 min
s24,Movie,Home Sweet Home Alone,12-Nov-21,2021,PG,95 min
s25,Movie,Jungle Cruise,12-Nov-21,2021,PG-13,129 min
s26,Movie,Limitless with Chris Hemsworth,12-Nov-21,2021,TV-14,2 min
s27,Movie,Marvel Studios’ 2021 Disney+ Day Special,12-Nov-21,2021,TV-PG,14 min
s28,Movie,Obi-Wan Kenobi,12-Nov-21,2021,TV-PG,1 min
s29,TV Show,Olaf Presents,12-Nov-21,2021,TV-PG,1 Season
s30,Movie,Paperman,12-Nov-21,2012,G,7 min
